entry_time,exit_time,direction,units,entry_price,exit_price,sl,tp,pnl,exit_reason,bars_held
2020-08-18 08:15:00+00:00,2020-08-18 14:00:00+00:00,1,11.0,2006.370286575381,1998.171286575381,1998.171286575381,2022.768286575381,-90.95900000000076,SL,23
2020-08-18 14:30:00+00:00,2020-08-18 14:45:00+00:00,-1,7.000000000000001,1982.6089800303648,1995.0279800303647,1995.0279800303647,1957.7709800303649,-87.42299999999909,SL,1
2020-08-18 14:45:00+00:00,2020-08-18 15:45:00+00:00,-1,6.0,1991.2776248486268,2004.5276248486268,2004.5276248486268,1964.7776248486268,-79.92,SL,4
2020-08-18 15:45:00+00:00,2020-08-19 04:15:00+00:00,-1,6.0,2002.794281496645,1993.7101568743853,2017.1452814966449,1974.092281496645,54.084747733557904,TIME,50
2020-08-19 08:15:00+00:00,2020-08-19 08:45:00+00:00,-1,11.0,1987.7201840841078,1995.3471840841078,1995.3471840841078,1972.4661840841077,-84.66699999999948,SL,2
2020-08-19 08:45:00+00:00,2020-08-19 14:30:00+00:00,-1,11.0,1990.2557831501574,1973.9157831501575,1998.4257831501575,1973.9157831501575,178.9699999999991,TP,23
2020-08-19 15:00:00+00:00,2020-08-19 18:15:00+00:00,-1,7.000000000000001,1964.6200649341956,1940.5460649341956,1976.6570649341957,1940.5460649341956,168.0280000000005,TP,13
2020-08-19 18:15:00+00:00,2020-08-20 06:45:00+00:00,-1,5.0,1948.950316794653,1946.0146219998855,1965.770316794653,1915.3103167946529,14.328473973837072,TIME,50
2020-08-20 08:15:00+00:00,2020-08-20 11:30:00+00:00,-1,9.0,1928.230494235364,1938.154494235364,1938.154494235364,1908.382494235364,-89.9459999999998,SL,13
2020-08-20 11:30:00+00:00,2020-08-20 12:30:00+00:00,-1,8.0,1936.1531911556967,1946.6881911556968,1946.6881911556968,1915.0831911556966,-84.84000000000066,SL,4
2020-08-20 15:15:00+00:00,2020-08-21 03:45:00+00:00,1,6.0,1941.7471691612282,1948.4840481246165,1927.7851691612282,1969.6711691612284,40.00127378033001,TIME,50
2020-08-21 08:15:00+00:00,2020-08-21 11:30:00+00:00,-1,11.0,1936.1549943187074,1919.5589943187074,1944.4529943187074,1919.5589943187074,181.78600000000003,TP,13
2020-08-21 11:30:00+00:00,2020-08-21 12:45:00+00:00,-1,8.0,1929.37068054339,1939.9126805433903,1939.9126805433903,1908.28668054339,-84.89600000000115,SL,5
2020-08-21 12:45:00+00:00,2020-08-21 14:45:00+00:00,-1,8.0,1931.7773075741868,1943.235307574187,1943.235307574187,1908.8613075741869,-92.22400000000067,SL,8
2020-08-21 15:15:00+00:00,2020-08-24 03:45:00+00:00,1,6.0,1939.7123346644282,1932.694678509122,1924.6403346644283,1969.856334664428,-42.52593693183728,TIME,50
2020-08-24 08:15:00+00:00,2020-08-24 12:15:00+00:00,1,13.0,1948.060699829036,1961.578699829036,1941.301699829036,1961.578699829036,174.82400000000038,TP,16
2020-08-24 12:15:00+00:00,2020-08-24 12:30:00+00:00,1,12.0,1958.7665428312541,1951.6505428312541,1951.6505428312541,1972.9985428312543,-86.23199999999983,SL,1
2020-08-24 12:30:00+00:00,2020-08-24 13:00:00+00:00,1,12.0,1953.7444107628478,1946.4234107628477,1946.4234107628477,1968.3864107628478,-88.69200000000168,SL,2
2020-08-24 13:00:00+00:00,2020-08-24 13:30:00+00:00,1,11.0,1949.1466736499967,1941.2536736499967,1941.2536736499967,1964.9326736499968,-87.59300000000032,SL,2
2020-08-24 14:45:00+00:00,2020-08-25 03:15:00+00:00,-1,8.0,1935.8387336078229,1934.8882623836216,1946.4657336078228,1914.584733607823,7.043769793609899,TIME,50
2020-08-25 08:30:00+00:00,2020-08-25 14:00:00+00:00,-1,16.0,1927.2785843867402,1915.9125843867403,1932.9615843867402,1915.9125843867403,180.73599999999976,TP,22
2020-08-25 14:30:00+00:00,2020-08-25 19:15:00+00:00,-1,9.0,1921.090877414035,1927.8425964305231,1930.735877414035,1901.800877414035,-61.395471148392865,SIGNAL_REVERSE,19
2020-08-25 19:15:00+00:00,2020-08-26 05:00:00+00:00,1,12.0,1927.8373067912532,1920.5813067912532,1920.5813067912532,1942.3493067912532,-87.91200000000103,SL,39
2020-08-26 08:15:00+00:00,2020-08-26 12:30:00+00:00,-1,15.0,1918.5959420814706,1906.4339420814706,1924.6769420814708,1906.4339420814706,181.3800000000005,TP,17
2020-08-26 12:45:00+00:00,2020-08-26 13:00:00+00:00,-1,12.0,1907.2699979035067,1914.6379979035066,1914.6379979035066,1892.5339979035066,-89.25599999999926,SL,1
2020-08-26 13:00:00+00:00,2020-08-26 13:30:00+00:00,-1,11.0,1911.5574390685226,1919.3494390685225,1919.3494390685225,1895.9734390685226,-86.48199999999908,SL,2
2020-08-26 14:00:00+00:00,2020-08-27 02:30:00+00:00,1,9.0,1935.1734973019143,1943.6750117138904,1925.2204973019143,1955.0794973019142,75.88362970778519,TIME,50
2020-08-27 13:00:00+00:00,2020-08-27 13:15:00+00:00,-1,10.0,1939.782760543344,1948.558760543344,1948.558760543344,1922.230760543344,-88.46000000000068,SL,1
2020-08-27 13:30:00+00:00,2020-08-27 13:45:00+00:00,1,6.0,1970.6678689241357,1957.4778689241357,1957.4778689241357,1997.0478689241356,-79.56000000000033,SL,1
2020-08-27 14:30:00+00:00,2020-08-28 03:00:00+00:00,-1,4.0,1929.1524956691326,1935.5576287133217,1947.9844956691327,1891.4884956691326,-25.90053217675657,TIME,50
2020-08-28 08:15:00+00:00,2020-08-28 11:30:00+00:00,1,11.0,1947.6308244474153,1963.9108244474153,1939.4908244474154,1963.9108244474153,178.3099999999997,TP,13
2020-08-28 11:30:00+00:00,2020-08-28 13:00:00+00:00,1,9.0,1960.6549352252316,1951.1749352252316,1951.1749352252316,1979.6149352252316,-85.95000000000016,SL,6
